No,Topik,pertanyaan,jawaban,Pasal Sumber
1,Fakultas,Apa itu fakultas di universitas?,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
1,Fakultas,Jelaskan pengertian fakultas!,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
1,Fakultas,Fakultas itu maksudnya apa ya?,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
1,Fakultas,Apa fungsi utama fakultas di kampus?,"Fakultas adalah himpunan sumber daya pendukung yang menyelenggarakan dan mengelola pendidikan akademik, vokasi, dan/atau profesi dalam satu atau beberapa bidang ilmu pengetahuan dan teknologi di Universitas.",Pasal 1 ayat (2)
2,Jurusan,Apa itu jurusan atau bagian di universitas?,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
2,Jurusan,Jelaskan apa itu jurusan!,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
2,Jurusan,Jurusan itu apa ya?,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
2,Jurusan,Fungsi jurusan di fakultas apa aja?,Jurusan atau Bagian merupakan unit di bawah Fakultas yang mengelola sumber daya akademik dalam lingkup bidang ilmu tertentu.,Pasal 1 ayat (3)
3,Program Studi,Apa itu program studi (prodi)?,"Program Studi (prodi) adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum serta metode tertentu dalam jenis pendidikan akademik, profesi, atau vokasi.",Pasal 1 ayat (4)
3,Program Studi,Jelaskan pengertian prodi!,"Program Studi (prodi) adalah kesatuan kegiatan pendidikan dan pembelajaran yang memiliki kurikulum serta metode tertentu dalam jenis pendidikan akademik, profesi, atau vokasi.",Pasal 1 ayat (4)
